日期,縣市,農、牧、狩獵售電量(度),農、牧、狩獵抄表戶數,農牧狩獵用電佔比(%),林業及伐木業售電量(度),林業及伐木業抄表戶數,林業及伐木業用電佔比(%),漁業售電量(度),漁業抄表戶數,漁業用電佔比(%),合計售電量(度)
2016年09月,高雄市,9025019,7281,0.0495,123792,13,0.2527,11664219,6026,0.1225,20813030
2016年09月,宜蘭縣,2546214,875,0.014,18721,2,0.0382,4523979,1181,0.0475,7088914
2016年09月,新竹縣,1592140,246,0.0087,39040,4,0.0797,300169,73,0.0032,1931349
2016年09月,苗栗縣,2462083,1032,0.0135,1170,3,0.0024,61393,36,0.0006,2524646
2016年09月,彰化縣,40948945,18407,0.2247,2883,4,0.0059,4526394,2547,0.0475,45478222
2016年09月,南投縣,10321044,2795,0.0566,1180,2,0.0024,67826,21,0.0007,10390050
2016年09月,雲林縣,24632726,7466,0.1351,148546,9,0.3032,12354059,7252,0.1298,37135331
2016年09月,嘉義縣,15236132,10735,0.0836,56,1,0.0001,7853793,6472,0.0825,23089981
2016年09月,屏東縣,30308395,18244,0.1663,37344,6,0.0762,30469265,8863,0.3201,60815004
2016年09月,台東縣,1691042,961,0.0093,2515,2,0.0051,819234,175,0.0086,2512791
2016年09月,花蓮縣,1854662,820,0.0102,1471,1,0.003,1159128,169,0.0122,3015261
2016年09月,基隆市,8255,5,0,0,0,0,489,1,0,8744
2016年09月,新竹市,676995,141,0.0037,0,0,0,148967,19,0.0016,825962
2016年09月,嘉義市,553848,354,0.003,13480,1,0.0275,1779,1,0,569107
2016年09月,澎湖縣,223390,898,0.0012,0,2,0,312018,68,0.0033,535408
2016年09月,金門縣,209009,1259,0.0011,5555,3,0.0113,75490,20,0.0008,290054
2016年09月,連江縣,2960,6,0,0,0,0,21510,4,0.0002,24470
2016年09月,合計,182264860,77512,1,489971,73,1,95200013,40344,1,277954844
2016年08月,新北市,1714783,411,0.0088,56464,3,0.1163,353205,95,0.0038,2124452
2016年08月,台北市,1829597,35,0.0093,2040,1,0.0042,62650,4,0.0007,1894287
2016年08月,桃園市,2766909,400,0.0141,3600,1,0.0074,629088,95,0.0067,3399597
2016年08月,台中市,15757985,2284,0.0804,21942,6,0.0452,374865,46,0.004,16154792
2016年08月,台南市,20706367,2853,0.1057,16045,9,0.033,18451380,7172,0.196,39173792
2016年08月,高雄市,9975001,7291,0.0509,121775,13,0.2508,11638279,6028,0.1236,21735055
2016年08月,宜蘭縣,2888328,873,0.0147,17716,2,0.0365,4610637,1180,0.049,7516681
2016年08月,新竹縣,1803638,247,0.0092,37120,4,0.0764,283515,73,0.003,2124273
2016年08月,苗栗縣,2722325,1030,0.0139,824,3,0.0017,51749,36,0.0005,2774898
2016年08月,彰化縣,42488810,18411,0.2168,2732,4,0.0056,4587717,2547,0.0487,47079259
2016年08月,南投縣,11173958,2795,0.057,1243,2,0.0026,70076,21,0.0007,11245277
2016年08月,雲林縣,26916713,7464,0.1374,139944,9,0.2882,11738114,7254,0.1247,38794771
2016年08月,嘉義縣,16414192,10735,0.0838,122,1,0.0003,7658448,6470,0.0813,24072762
2016年08月,屏東縣,32679216,18245,0.1668,38180,7,0.0786,31070636,8868,0.33,63788032
2016年08月,台東縣,2054958,963,0.0105,3015,2,0.0062,838285,177,0.0089,2896258
2016年08月,花蓮縣,2149804,819,0.011,1895,1,0.0039,1154372,169,0.0123,3306071
2016年08月,基隆市,7513,5,0,0,0,0,274,1,0,7787
2016年08月,新竹市,732981,141,0.0037,0,0,0,168580,20,0.0018,901561
2016年08月,嘉義市,629590,353,0.0032,14080,1,0.029,1586,1,0,645256
2016年08月,澎湖縣,295538,898,0.0015,0,2,0,311173,68,0.0033,606711
2016年08月,金門縣,229581,1258,0.0012,6886,3,0.0142,71934,20,0.0008,308401
2016年08月,連江縣,4054,6,0,0,0,0,17565,4,0.0002,21619
2016年08月,合計,195941841,77517,1,485623,74,1,94144128,40349,1,290571592
2016年07月,新北市,1584744,411,0.0082,50637,3,0.102,367111,94,0.004,2002492
2016年07月,台北市,1844775,35,0.0095,2120,1,0.0043,55137,4,0.0006,1902032
2016年07月,桃園市,2569359,399,0.0132,3400,1,0.0068,579131,94,0.0064,3151890
2016年07月,台中市,15432621,2282,0.0794,22306,6,0.0449,393165,46,0.0043,15848092
2016年07月,台南市,20287416,2853,0.1044,14739,9,0.0297,16888438,7165,0.1858,37190593
2016年07月,高雄市,10162313,7294,0.0523,120325,13,0.2424,10838805,6029,0.1192,21121443
2016年07月,宜蘭縣,3150518,871,0.0162,17840,2,0.0359,4373588,1181,0.0481,7541946
2016年07月,新竹縣,1795153,245,0.0092,33280,4,0.067,268528,73,0.003,2096961
2016年07月,苗栗縣,2843483,1032,0.0146,814,3,0.0016,50195,36,0.0006,2894492
2016年07月,彰化縣,41191814,18414,0.2121,3645,4,0.0073,4311694,2548,0.0474,45507153
2016年07月,南投縣,9998601,2794,0.0515,830,2,0.0017,70357,21,0.0008,10069788
2016年07月,雲林縣,26777135,7466,0.1378,159868,9,0.3221,11444487,7255,0.1259,38381490
2016年07月,嘉義縣,16591980,10736,0.0854,0,1,0,7120948,6469,0.0783,23712928
2016年07月,屏東縣,33990870,18250,0.175,44084,6,0.0888,31689371,8868,0.3486,65724325
2016年07月,台東縣,2079058,965,0.0107,1284,2,0.0026,879371,178,0.0097,2959713
2016年07月,花蓮縣,2114817,816,0.0109,877,1,0.0018,1049706,168,0.0115,3165400
2016年07月,基隆市,6696,5,0,0,0,0,73,1,0,6769
2016年07月,新竹市,702855,141,0.0036,0,0,0,153723,20,0.0017,856578
2016年07月,嘉義市,610614,352,0.0031,14400,1,0.029,1482,1,0,626496
2016年07月,澎湖縣,282626,899,0.0015,0,2,0,293095,68,0.0032,575721
2016年07月,金門縣,232157,1254,0.0012,5933,3,0.012,69276,21,0.0008,307366
2016年07月,連江縣,3320,6,0,0,0,0,16597,4,0.0002,19917
2016年07月,合計,194252925,77520,1,496382,73,1,90914278,40344,1,285663585
2016年06月,新北市,1496731,410,0.0084,52523,3,0.1128,327279,94,0.004,1876533
2016年06月,台北市,1754849,35,0.0098,1840,1,0.004,53373,4,0.0007,1810062
2016年06月,桃園市,1992147,398,0.0111,2520,1,0.0054,527558,94,0.0065,2522225
2016年06月,台中市,14517960,2289,0.081,10292,6,0.0221,359912,46,0.0044,14888164
2016年06月,台南市,18981495,2852,0.106,17851,9,0.0383,14308055,7163,0.175,33307401
2016年06月,高雄市,9562172,7300,0.0534,112772,13,0.2421,9926354,6031,0.1214,19601298
2016年06月,宜蘭縣,2439068,864,0.0136,14092,2,0.0303,4017850,1182,0.0491,6471010
2016年06月,新竹縣,1419860,245,0.0079,34480,4,0.074,225590,73,0.0028,1679930
2016年06月,苗栗縣,2120768,1032,0.0118,862,3,0.0019,49612,36,0.0006,2171242
2016年06月,彰化縣,36590660,18411,0.2043,3423,4,0.0073,3678684,2549,0.045,40272767
2016年06月,南投縣,9964794,2792,0.0556,882,3,0.0019,70937,21,0.0009,10036613
2016年06月,雲林縣,24085972,7482,0.1345,153364,9,0.3293,9890215,7255,0.1209,34129551
2016年06月,嘉義縣,16311552,10736,0.0911,0,1,0,5941915,6468,0.0727,22253467
2016年06月,屏東縣,32460720,18251,0.1812,43510,7,0.0934,30210414,8864,0.3694,62714644
2016年06月,台東縣,2058313,966,0.0115,2400,2,0.0052,860548,178,0.0105,2921261
2016年06月,花蓮縣,1672324,812,0.0093,427,1,0.0009,856044,168,0.0105,2528795
2016年06月,基隆市,7098,5,0,0,0,0,61,1,0,7159
2016年06月,新竹市,644271,141,0.0036,0,0,0,149596,20,0.0018,793867
2016年06月,嘉義市,627040,352,0.0035,10880,1,0.0234,1233,1,0,639153
2016年06月,澎湖縣,241737,899,0.0013,0,2,0,259453,68,0.0032,501190
2016年06月,金門縣,180169,1250,0.001,3679,3,0.0079,55336,21,0.0007,239184
2016年06月,連江縣,2119,6,0,0,0,0,11969,4,0.0001,14088
2016年06月,合計,179131819,77528,1,465797,75,1,81781988,40341,1,261379604
2016年05月,新北市,1503805,410,0.0089,52459,3,0.1188,358116,94,0.0045,1914380
2016年05月,台北市,1667109,35,0.0098,1800,1,0.0041,52121,4,0.0007,1721030
2016年05月,桃園市,1957874,398,0.0116,1920,1,0.0043,514768,94,0.0065,2474562
2016年05月,台中市,14250115,2294,0.0842,2457,6,0.0056,353340,46,0.0045,14605912
2016年05月,台南市,18211489,2851,0.1075,16958,9,0.0384,12836896,7161,0.1617,31065343
2016年05月,高雄市,9914111,7304,0.0585,115455,12,0.2615,10068947,6032,0.1268,20098513
2016年05月,宜蘭縣,2285144,863,0.0135,15174,2,0.0344,4036902,1181,0.0509,6337220
2016年05月,新竹縣,1422344,244,0.0084,40360,4,0.0914,229459,73,0.0029,1692163
2016年05月,苗栗縣,1860787,1033,0.011,599,3,0.0014,38891,36,0.0005,1900277
2016年05月,彰化縣,33557827,18414,0.1982,2896,4,0.0066,3458159,2551,0.0436,37018882
2016年05月,南投縣,9365315,2791,0.0553,1295,3,0.0029,54975,21,0.0007,9421585
2016年05月,雲林縣,21282834,7491,0.1257,146520,9,0.3319,9256671,7254,0.1166,30686025
2016年05月,嘉義縣,14373739,10734,0.0849,0,1,0,5089601,6469,0.0641,19463340
2016年05月,屏東縣,32611814,18265,0.1926,30330,6,0.0687,30824062,8862,0.3883,63466206
2016年05月,台東縣,1837758,967,0.0109,2129,2,0.0048,906387,177,0.0114,2746274
2016年05月,花蓮縣,1642826,812,0.0097,395,1,0.0009,846795,168,0.0107,2490016
2016年05月,基隆市,7894,5,0,0,0,0,41,1,0,7935
2016年05月,新竹市,605560,141,0.0036,0,0,0,143261,20,0.0018,748821
2016年05月,嘉義市,559399,352,0.0033,7920,1,0.0179,1278,1,0,568597
2016年05月,澎湖縣,217032,899,0.0013,0,2,0,243002,68,0.0031,460034
2016年05月,金門縣,203298,1245,0.0012,2846,3,0.0064,51233,21,0.0006,257377
2016年05月,連江縣,2200,6,0,0,0,0,16139,4,0.0002,18339
2016年05月,合計,169340274,77554,1,441513,73,1,79381044,40338,1,249162831
2016年04月,新北市,1329272,410,0.0093,50446,3,0.1401,235990,94,0.0035,1615708
2016年04月,台北市,1496958,35,0.0104,1520,1,0.0042,47830,4,0.0007,1546308
2016年04月,桃園市,1677184,398,0.0117,2120,1,0.0059,462483,93,0.0069,2141787
2016年04月,台中市,12373519,2297,0.0862,4647,6,0.0129,283441,46,0.0042,12661607
2016年04月,台南市,16117902,2847,0.1123,12979,9,0.036,10511107,7164,0.1564,26641988
2016年04月,高雄市,8609276,7313,0.06,91461,12,0.2539,9267290,6032,0.1379,17968027
2016年04月,宜蘭縣,1942582,863,0.0135,10360,2,0.0288,3066031,1183,0.0456,5018973
2016年04月,新竹縣,1041699,243,0.0073,29040,4,0.0806,182786,73,0.0027,1253525
2016年04月,苗栗縣,1578101,1034,0.011,521,3,0.0014,35978,37,0.0005,1614600
2016年04月,彰化縣,27719712,18412,0.1931,1663,4,0.0046,2820611,2551,0.042,30541986
2016年04月,南投縣,7849291,2791,0.0547,1310,3,0.0036,40191,22,0.0006,7890792
2016年04月,雲林縣,17618341,7491,0.1227,118699,9,0.3295,7204617,7260,0.1072,24941657
2016年04月,嘉義縣,11711560,10734,0.0816,0,1,0,3851832,6467,0.0573,15563392
2016年04月,屏東縣,28167230,18274,0.1962,24596,7,0.0683,27356557,8865,0.4072,55548383
2016年04月,台東縣,1560492,964,0.0109,2511,2,0.007,783020,177,0.0117,2346023
2016年04月,花蓮縣,1434222,812,0.01,324,1,0.0009,670338,168,0.01,2104884
2016年04月,基隆市,7842,5,0.0001,0,0,0,177,1,0,8019
2016年04月,新竹市,538235,140,0.0037,120,1,0.0003,137407,20,0.002,675762
2016年04月,嘉義市,428337,352,0.003,5440,1,0.0151,959,1,0,434736
2016年04月,澎湖縣,194366,899,0.0014,0,2,0,184251,67,0.0027,378617
2016年04月,金門縣,151180,1237,0.0011,2431,3,0.0067,35148,21,0.0005,188759
2016年04月,連江縣,1285,6,0,0,0,0,10410,4,0.0002,11695
2016年04月,合計,143548586,77557,1,360188,75,1,67188454,40350,1,211097228
2016年03月,新北市,1245884,410,0.0088,50283,3,0.1424,263996,94,0.0037,1560163
2016年03月,台北市,1327030,34,0.0093,1760,1,0.005,39692,4,0.0006,1368482
2016年03月,桃園市,1621319,399,0.0114,1960,1,0.0056,413366,93,0.0059,2036645
2016年03月,台中市,10941124,2297,0.0769,4450,6,0.0126,309333,46,0.0044,11254907
2016年03月,台南市,16133617,2846,0.1135,12249,9,0.0347,10314776,7159,0.1465,26460642
2016年03月,高雄市,8854124,7315,0.0623,99661,12,0.2823,10121945,6036,0.1437,19075730
2016年03月,宜蘭縣,1798769,862,0.0126,11700,2,0.0331,3050649,1184,0.0433,4861118
2016年03月,新竹縣,1009774,243,0.0071,23200,4,0.0657,190957,73,0.0027,1223931
2016年03月,苗栗縣,1494614,1034,0.0105,428,3,0.0012,37659,36,0.0005,1532701
2016年03月,彰化縣,26234152,18420,0.1845,1617,4,0.0046,2960870,2553,0.042,29196639
2016年03月,南投縣,7727815,2793,0.0543,5381,3,0.0152,42135,22,0.0006,7775331
2016年03月,雲林縣,18269649,7490,0.1285,109580,9,0.3104,8155811,7263,0.1158,26535040
2016年03月,嘉義縣,13196953,10741,0.0928,0,1,0,3624878,6470,0.0515,16821831
2016年03月,屏東縣,28140336,18300,0.1979,18572,6,0.0526,28965323,8864,0.4113,57124231
2016年03月,台東縣,1554204,964,0.0109,1863,2,0.0053,851177,177,0.0121,2407244
2016年03月,花蓮縣,1407976,812,0.0099,620,1,0.0018,736954,169,0.0105,2145550
2016年03月,基隆市,7341,5,0.0001,0,0,0,113,1,0,7454
2016年03月,新竹市,476479,140,0.0034,640,1,0.0018,113174,20,0.0016,590293
2016年03月,嘉義市,425491,351,0.003,6200,1,0.0176,1386,1,0,433077
2016年03月,澎湖縣,166147,898,0.0012,0,2,0,179858,68,0.0026,346005
2016年03月,金門縣,163018,1236,0.0011,2836,3,0.008,35813,21,0.0005,201667
2016年03月,連江縣,2053,6,0,0,0,0,13380,4,0.0002,15433
2016年03月,合計,142197869,77596,1,353000,74,1,70423245,40358,1,212974114
2016年02月,新北市,1149398,410,0.0091,39671,3,0.1265,235411,94,0.0036,1424480
2016年02月,台北市,1152240,34,0.0091,1280,1,0.0041,45718,4,0.0007,1199238
2016年02月,桃園市,1558930,400,0.0124,1640,1,0.0052,402948,93,0.0062,1963518
2016年02月,台中市,10108352,2302,0.0801,3936,6,0.0126,251873,46,0.0039,10364161
2016年02月,台南市,14040642,2850,0.1113,14098,9,0.045,10365918,7153,0.1586,24420658
2016年02月,高雄市,7679063,7322,0.0609,83761,12,0.2671,9135537,6034,0.1398,16898361
2016年02月,宜蘭縣,1500827,863,0.0119,10015,2,0.0319,2453586,1189,0.0375,3964428
2016年02月,新竹縣,849711,243,0.0067,27920,4,0.089,156377,73,0.0024,1034008
2016年02月,苗栗縣,1339887,1032,0.0106,392,3,0.0013,30247,35,0.0005,1370526
2016年02月,彰化縣,24266549,18418,0.1924,1767,4,0.0056,2899420,2554,0.0444,27167736
2016年02月,南投縣,6502762,2794,0.0515,3432,3,0.0109,44092,22,0.0007,6550286
2016年02月,雲林縣,16263550,7494,0.1289,95176,9,0.3035,7350655,7268,0.1125,23709381
2016年02月,嘉義縣,11094221,10740,0.0879,0,1,0,3515730,6470,0.0538,14609951
2016年02月,屏東縣,24891376,18306,0.1973,18309,7,0.0584,26609069,8864,0.4072,51518754
2016年02月,台東縣,1347119,962,0.0107,3067,2,0.0098,817496,177,0.0125,2167682
2016年02月,花蓮縣,1254466,812,0.0099,328,1,0.001,666837,169,0.0102,1921631
2016年02月,基隆市,6887,5,0.0001,0,0,0,138,1,0,7025
2016年02月,新竹市,431856,141,0.0034,1160,1,0.0037,137439,20,0.0021,570455
2016年02月,嘉義市,443857,351,0.0035,5000,1,0.0159,1202,1,0,450059
2016年02月,澎湖縣,131708,898,0.001,0,2,0,187313,68,0.0029,319021
2016年02月,金門縣,138724,1233,0.0011,2636,3,0.0084,30983,21,0.0005,172343
2016年02月,連江縣,1959,6,0,0,0,0,14288,4,0.0002,16247
2016年02月,合計,126154084,77616,1,313588,75,1,65352277,40360,1,191819949
2016年01月,新北市,1324468,410,0.0096,52727,3,0.1414,302732,94,0.0041,1679927
2016年01月,台北市,1334678,34,0.0097,1280,1,0.0034,47171,4,0.0006,1383129
2016年01月,桃園市,1695315,398,0.0123,2000,1,0.0054,480667,95,0.0065,2177982
2016年01月,台中市,11641997,2299,0.0845,4666,6,0.0125,285997,47,0.0038,11932660
2016年01月,台南市,14702155,2854,0.1067,15248,9,0.0409,12864315,7153,0.173,27581718
2016年01月,高雄市,8846131,7327,0.0642,105163,12,0.282,10432445,6038,0.1403,19383739
2016年01月,宜蘭縣,1599230,859,0.0116,10478,2,0.0281,2732045,1189,0.0367,4341753
2016年01月,新竹縣,936691,242,0.0068,26840,4,0.072,194249,73,0.0026,1157780
2016年01月,苗栗縣,1544939,1030,0.0112,496,3,0.0013,35190,35,0.0005,1580625
2016年01月,彰化縣,27300290,18424,0.1981,2600,4,0.007,3160660,2557,0.0425,30463550
2016年01月,南投縣,7806334,2797,0.0566,5580,3,0.015,42469,22,0.0006,7854383
2016年01月,雲林縣,16347216,7497,0.1186,105377,9,0.2825,8036524,7268,0.1081,24489117
2016年01月,嘉義縣,11393305,10741,0.0827,0,1,0,4328383,6469,0.0582,15721688
2016年01月,屏東縣,27286783,18308,0.198,28357,6,0.076,29406999,8861,0.3954,56722139
2016年01月,台東縣,1478806,962,0.0107,1581,2,0.0042,918941,176,0.0124,2399328
2016年01月,花蓮縣,1362048,811,0.0099,326,1,0.0009,724443,169,0.0097,2086817
2016年01月,基隆市,7154,5,0.0001,0,0,0,353,1,0,7507
2016年01月,新竹市,470327,139,0.0034,960,1,0.0026,133387,20,0.0018,604674
2016年01月,嘉義市,426609,353,0.0031,6440,1,0.0173,3839,2,0.0001,436888
2016年01月,澎湖縣,160286,899,0.0012,0,2,0,197612,68,0.0027,357898
2016年01月,金門縣,161897,1227,0.0012,2837,3,0.0076,35135,21,0.0005,199869
2016年01月,連江縣,1895,6,0,0,0,0,13989,4,0.0002,15884
2016年01月,合計,137828554,77622,1,372956,74,1,74377545,40366,1,212579055
