日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2016年11月,台中市,8815917,288,0.0823,134321,15,0.1494,5708802,493,0.1378,10280304,128,0.0991,8944,2,0.045,203208,54,0.0394,28270072,20132,0.1186,18737741,43,0.1043,0,0,0,27390,4,0.0381,72186699
2016年11月,台南市,5810551,235,0.0543,44284,21,0.0493,3962448,1336,0.0957,5084251,114,0.049,0,0,0,482138,206,0.0935,26330808,11676,0.1105,11225691,24,0.0625,0,0,0,16030,14,0.0223,52956201
2016年11月,高雄市,14400858,478,0.1345,41646,50,0.0463,3700455,680,0.0893,14477801,151,0.1395,78295,16,0.3936,263883,122,0.0512,32555797,17709,0.1366,25456199,51,0.1417,6920,2,0.1161,48696,7,0.0678,91030550
2016年11月,宜蘭縣,1220167,48,0.0114,28460,8,0.0317,1466971,230,0.0354,1437844,36,0.0139,2343,1,0.0118,302615,122,0.0587,6521247,4077,0.0274,2467560,7,0.0137,0,0,0,1916,3,0.0027,13449123
2016年11月,新竹縣,1799383,76,0.0168,40851,2,0.0455,1072903,159,0.0259,1000637,25,0.0096,0,0,0,2406,2,0.0005,7772955,3726,0.0326,2315620,9,0.0129,0,0,0,1863,2,0.0026,14006618
2016年11月,苗栗縣,1135416,59,0.0106,121921,10,0.1357,2148918,818,0.0519,1707171,36,0.0165,0,0,0,106262,107,0.0206,8009778,5089,0.0336,1836800,5,0.0102,0,0,0,158280,4,0.2203,15224546
2016年11月,彰化縣,2535190,107,0.0237,40955,8,0.0456,3308764,670,0.0799,2336060,46,0.0225,0,0,0,234941,101,0.0455,20829724,9342,0.0874,4003507,10,0.0223,0,0,0,34656,7,0.0482,33323797
2016年11月,南投縣,1333914,67,0.0125,4699,1,0.0052,1120445,191,0.027,2233644,56,0.0215,7815,1,0.0393,94988,45,0.0184,6844403,4397,0.0287,1618112,3,0.009,0,0,0,0,0,0,13258020
2016年11月,雲林縣,1034650,53,0.0097,29805,16,0.0332,2388564,520,0.0577,1189743,40,0.0115,0,0,0,195597,71,0.0379,11286984,6956,0.0474,3973540,7,0.0221,0,0,0,138,1,0.0002,20099021
2016年11月,嘉義縣,1101286,61,0.0103,3613,3,0.004,2429801,571,0.0587,591500,23,0.0057,34240,1,0.1721,67051,51,0.013,8665844,3037,0.0364,4881112,9,0.0272,0,0,0,4079,2,0.0057,17778526
2016年11月,屏東縣,1072144,88,0.01,19256,14,0.0214,2274015,522,0.0549,4709940,78,0.0454,640,2,0.0032,163167,137,0.0316,10510341,4776,0.0441,5309346,13,0.0296,0,0,0,25730,8,0.0358,24084579
2016年11月,台東縣,816454,55,0.0076,15851,13,0.0176,1096086,413,0.0265,1992306,54,0.0192,13443,4,0.0676,248600,134,0.0482,3242503,1242,0.0136,1136200,6,0.0063,0,0,0,20046,4,0.0279,8581489
2016年11月,花蓮縣,884170,55,0.0083,239765,25,0.2668,1474181,499,0.0356,1618658,54,0.0156,3000,1,0.0151,320272,177,0.0621,6588821,3255,0.0276,4073303,10,0.0227,0,0,0,9840,9,0.0137,15212010
2016年11月,基隆市,1514762,71,0.0141,0,0,0,354225,56,0.0086,1419319,35,0.0137,0,0,0,77535,19,0.015,2161442,1556,0.0091,1975400,5,0.011,0,0,0,49520,1,0.0689,7552203
2016年11月,新竹市,2392851,77,0.0223,16094,1,0.0179,616825,78,0.0149,2353166,45,0.0227,0,0,0,190382,18,0.0369,2283552,2208,0.0096,11483180,12,0.0639,0,0,0,0,0,0,19336050
2016年11月,嘉義市,1116510,33,0.0104,0,0,0,425001,57,0.0103,1019134,24,0.0098,0,0,0,222194,37,0.0431,3417626,1889,0.0143,2014720,10,0.0112,0,0,0,2823,2,0.0039,8218008
2016年11月,澎湖縣,728575,52,0.0068,4204,2,0.0047,237730,42,0.0057,1239822,35,0.0119,11530,3,0.058,66805,48,0.013,1376321,814,0.0058,395560,3,0.0022,0,0,0,22824,53,0.0318,4083371
2016年11月,金門縣,964178,62,0.009,0,0,0,396898,89,0.0096,760557,27,0.0073,14190,6,0.0713,166166,51,0.0322,976660,972,0.0041,530900,3,0.003,0,0,0,2066,2,0.0029,3811615
