日期,縣市,地方政府電力售電量(度),地方政府電力抄表戶數,地方政府電力用電佔比(%),地方政府電燈(營業)售電量(度),地方政府電燈(營業)抄表戶數,地方政府電燈(營業)用電佔比(%),地方政府電燈(非營業)售電量(度),地方政府電燈(非營業)抄表戶數,地方政府電燈(非營業)用電佔比(%),中央政府電力售電量(度),中央政府電力抄表戶數,中央政府電力用電佔比(%),中央政府電燈(營業)售電量(度),中央政府電燈(營業)抄表戶數,中央政府電燈(營業)用電佔比(%),中央政府電燈(非營業)售電量(度),中央政府電燈(非營業)抄表戶數,中央政府電燈(非營業)用電佔比(%),包燈售電量(度),包燈抄表戶數,包燈用電佔比(%),大專院校電力售電量(度),大專院校電力抄表戶數,大專院校電力用電佔比(%),大專院校電燈(營業)售電量(度),大專院校電燈(營業)抄表戶數,大專院校電燈(營業)用電佔比(%),大專院校電燈(非營業)售電量(度),大專院校電燈(非營業)抄表戶數,大專院校電燈(非營業)用電佔比(%),合計售電量(度)
2023年05月,新北市,20604608,517,0.1743,35593,7,0.0394,1633497,679,0.0563,8614955,89,0.0793,3980,1,0.0365,182943,64,0.0567,11468295,26182,0.0882,15685348,32,0.0818,0,0,0,11920,1,0.0278,58241139
2023年05月,台北市,34165633,449,0.2891,33360,11,0.0369,911599,348,0.0314,32817236,206,0.302,11260,2,0.1033,781570,297,0.2424,7838527,25015,0.0603,48536734,110,0.2531,42934,3,0.8875,192335,196,0.4489,125331188
2023年05月,桃園市,6915061,218,0.0585,24129,3,0.0267,2083249,285,0.0718,7185901,55,0.0661,0,0,0,184658,43,0.0573,8446262,17755,0.065,20018276,25,0.1044,0,0,0,616,3,0.0014,44858152
2023年05月,台中市,9285714,306,0.0786,100517,20,0.1113,4372026,478,0.1506,10855083,128,0.0999,7921,4,0.0727,119011,54,0.0369,17661478,23728,0.1359,18622389,40,0.0971,0,0,0,13774,4,0.0321,61037913
2023年05月,台南市,8234914,252,0.0697,27980,21,0.031,2746980,1091,0.0946,5738805,117,0.0528,1080,1,0.0099,167519,203,0.052,14971134,12430,0.1152,11352184,23,0.0592,2440,1,0.0504,9198,6,0.0215,43252234
2023年05月,高雄市,17826416,490,0.1508,27417,26,0.0304,2508520,638,0.0864,15405527,139,0.1418,11247,11,0.1032,135733,125,0.0421,12953050,19341,0.0996,28126362,50,0.1467,3000,2,0.062,9446,7,0.022,77006718
2023年05月,宜蘭縣,1266039,50,0.0107,98081,12,0.1086,1058179,231,0.0365,1576386,35,0.0145,3775,2,0.0346,186744,124,0.0579,4916129,5377,0.0378,2004663,7,0.0105,0,0,0,2106,2,0.0049,11112102
2023年05月,新竹縣,2066065,85,0.0175,21055,2,0.0233,751221,156,0.0259,1148929,24,0.0106,0,0,0,7034,4,0.0022,5124523,4710,0.0394,1997436,8,0.0104,0,0,0,3116,2,0.0073,11119379
2023年05月,苗栗縣,1186714,66,0.01,131472,18,0.1456,1322836,765,0.0456,1680601,38,0.0155,0,0,0,74928,106,0.0232,4687729,5766,0.0361,1797992,4,0.0094,0,0,0,60440,4,0.1411,10942712
2023年05月,彰化縣,2518441,110,0.0213,42026,10,0.0465,2285531,648,0.0787,2803926,45,0.0258,0,0,0,151828,102,0.0471,8949817,11868,0.0689,3177810,10,0.0166,0,0,0,13646,6,0.0319,19943025
2023年05月,南投縣,1198089,63,0.0101,2080,1,0.0023,1025152,185,0.0353,2258208,59,0.0208,4373,3,0.0401,76162,44,0.0236,4230756,4939,0.0325,1570139,3,0.0082,0,0,0,0,0,0,10364959
2023年05月,雲林縣,1203787,54,0.0102,27424,15,0.0304,1697027,518,0.0585,1315666,37,0.0121,0,0,0,78365,70,0.0243,5586847,8787,0.043,4546495,8,0.0237,0,0,0,40,1,0.0001,14455651
2023年05月,嘉義縣,1113495,72,0.0094,6888,5,0.0076,1681121,550,0.0579,643906,22,0.0059,22400,1,0.2056,50199,51,0.0156,4181508,4285,0.0322,5230924,9,0.0273,0,0,0,1002,2,0.0023,12931443
2023年05月,屏東縣,1309779,102,0.0111,18558,15,0.0206,1799593,473,0.062,5081532,80,0.0468,7760,4,0.0712,116720,135,0.0362,5968714,5883,0.0459,5315591,13,0.0277,0,0,0,24937,6,0.0582,19643184
2023年05月,台東縣,809372,57,0.0068,26682,11,0.0296,828764,385,0.0286,1986664,53,0.0183,6342,4,0.0582,241937,132,0.075,1358312,1825,0.0104,1364944,6,0.0071,0,0,0,12290,4,0.0287,6635307
2023年05月,花蓮縣,1015133,64,0.0086,207926,24,0.2303,1066326,505,0.0367,1483086,52,0.0136,0,0,0,182099,177,0.0565,5556934,4337,0.0427,4333865,10,0.0226,0,0,0,7813,9,0.0182,13853182
2023年05月,基隆市,1449898,73,0.0123,0,0,0,230414,51,0.0079,1487884,32,0.0137,0,0,0,39312,20,0.0122,1419561,1884,0.0109,2250200,5,0.0117,0,0,0,42960,1,0.1003,6920229
2023年05月,新竹市,2574255,79,0.0218,50428,2,0.0558,254715,72,0.0088,3075712,42,0.0283,0,0,0,35183,17,0.0109,1754986,2714,0.0135,12635217,12,0.0659,0,0,0,0,0,0,20380496
2023年05月,嘉義市,1313790,36,0.0111,11400,1,0.0126,264864,55,0.0091,1214939,25,0.0112,0,0,0,154269,40,0.0478,1101261,2136,0.0085,2171480,10,0.0113,0,0,0,1528,2,0.0036,6233531
2023年05月,澎湖縣,805928,51,0.0068,3405,2,0.0038,119942,39,0.0041,1334778,34,0.0123,7439,3,0.0683,87084,71,0.027,974465,968,0.0075,442320,2,0.0023,0,0,0,19518,53,0.0456,3794879
2023年05月,金門縣,1082996,61,0.0092,0,0,0,280793,77,0.0097,747826,28,0.0069,9052,7,0.0831,118103,50,0.0366,644230,1174,0.005,565120,3,0.0029,0,0,0,1757,2,0.0041,3449877
2023年05月,連江縣,238750,17,0.002,6521,4,0.0072,105527,54,0.0036,202127,8,0.0019,12325,5,0.1131,53131,27,0.0165,194711,221,0.0015,0,0,0,0,0,0,0,0,0,813092
2023年05月,合計,118184877,3272,1,902942,210,1,29027876,8283,1,108659677,1348,1,108954,48,1,3224532,1956,1,129989229,191325,1,191745489,390,1,48374,6,1,428442,311,1,582320392
2023年04月,花蓮縣,818086,64,0.00871435,10026,3,0.01461286,854419,372,0.034682809,1221028,52,0.013726517,0,0,0,173515,107,0.063254684,5729536,4321,0.04089835,3567467,10,0.023790066,0,0,0,0,0,0,12374077
2023年04月,基隆市,1165201,73,0.01241186,0,0,0,289469,91,0.011750204,1184643,32,0.013317486,4120,1,0.040962011,20067,12,0.007315401,1521761,1879,0.010862575,1767600,5,0.011787445,0,0,0,0,0,0,5952861
2023年04月,新竹市,2063083,79,0.021976207,63320,4,0.092288678,138908,39,0.005638591,2647804,41,0.029766007,6320,1,0.062834929,47020,15,0.017141084,1897087,2712,0.013541712,10100205,12,0.067354383,0,0,0,0,0,0,16963747
2023年04月,嘉義市,988415,36,0.010528715,18369,3,0.026772753,357968,64,0.014530734,879188,25,0.00988363,0,0,0,77022,77,0.028078277,1197414,2130,0.008547334,1725948,10,0.011509684,0,0,0,3304,2,0.007127295,5247628
2023年04月,澎湖縣,648051,51,0.006903117,22891,4,0.033363552,363278,265,0.014746279,1128218,34,0.012683169,14444,9,0.143605651,107316,110,0.039121919,1059902,972,0.007565751,323320,2,0.002156097,0,0,0,0,0,0,3667420
2023年04月,金門縣,882518,61,0.009400687,31391,42,0.045752272,471690,197,0.019146969,638152,28,0.007173959,1920,2,0.019089092,90654,43,0.033047807,699042,1172,0.004989874,425220,3,0.002835629,0,0,0,0,0,0,3240587
2023年04月,連江縣,226240,17,0.002409936,8680,1,0.01265107,117819,57,0.004782541,163680,8,0.001840053,11776,7,0.117079767,91613,36,0.033397409,224467,234,0.001602282,0,0,0,0,0,0,0,0,0,844275
2023年04月,合計,93878030,3277,1,686108,250,1,24635231,8082,1,88953954,1349,1,100581,46,1,2743117,1820,1,140092105,191089,1,149956165,390,1,1905,2,1,463570,323,1,501510766
2023年04月,新北市,16088081,519,0.171372162,36580,8,0.053315222,2158616,899,0.087623128,6933725,89,0.07794735,1291,3,0.012835426,228409,113,0.083266226,12284395,26162,0.087687989,11754892,32,0.078388855,0,0,0,5360,1,0.011562439,49491349
2023年04月,台北市,28346981,447,0.301955431,39312,11,0.057297102,736046,288,0.02987778,27410845,206,0.308146448,10931,3,0.108678577,295530,82,0.107735106,8097037,24962,0.057797954,38469385,110,0.256537535,687,1,0.360629921,240207,262,0.518167699,103646961
2023年04月,桃園市,5289377,219,0.056343076,16880,2,0.024602541,1723722,288,0.069969792,5853484,55,0.065803528,8672,1,0.086219067,62912,42,0.022934494,9019679,17755,0.064383921,15825427,25,0.105533687,0,0,0,0,0,0,37800153
2023年04月,台中市,7358274,306,0.078381214,80456,11,0.117264337,3100825,438,0.125869532,8514058,128,0.095713092,4886,2,0.048577763,179882,144,0.065575767,19383984,23751,0.138365999,14293102,40,0.095315201,1218,1,0.639370079,104574,13,0.225584054,53021259
2023年04月,台南市,6203126,252,0.06607644,59144,37,0.086202172,2266351,1089,0.091996336,4423658,118,0.049729751,600,1,0.005965341,148069,124,0.053978376,16199238,12411,0.115632769,8606504,23,0.057393466,0,0,0,382,2,0.00082404,37907072
2023年04月,高雄市,13778708,491,0.146772445,50046,26,0.072941869,1513605,466,0.061440666,12904688,139,0.14507155,24615,7,0.24472813,172186,146,0.062770199,14204924,19320,0.101397034,22180512,50,0.147913305,0,0,0,2040,3,0.00440063,64831324
2023年04月,宜蘭縣,1060873,51,0.011300546,69909,7,0.101892122,905584,193,0.036759712,1294792,35,0.014555755,0,0,0,122973,60,0.044829659,5355628,5374,0.038229335,1631351,7,0.010878852,0,0,0,0,0,0,10441110
2023年04月,新竹縣,1533224,86,0.016332085,3118,1,0.004544474,673071,126,0.027321481,954592,24,0.010731305,0,0,0,46275,14,0.016869496,5419367,4710,0.038684314,1393180,8,0.009290582,0,0,0,568,1,0.001225273,10023395
2023年04月,苗栗縣,995057,66,0.010599466,91023,16,0.132665703,1198244,717,0.048639446,1269442,38,0.014270777,0,0,0,72174,46,0.026310945,5024081,5753,0.035862699,1316928,4,0.008782086,0,0,0,48330,3,0.104256099,10015279
2023年04月,彰化縣,1954983,109,0.020824713,33342,30,0.048595848,2284209,653,0.092721233,2016026,45,0.022663703,0,0,0,175491,121,0.063975033,9620747,11795,0.068674441,2393786,10,0.015963238,0,0,0,2640,1,0.005694933,18481224
2023年04月,南投縣,942770,64,0.010042499,3720,4,0.005421887,1341753,234,0.054464803,1770096,60,0.019899014,4766,2,0.047384695,248371,101,0.090543349,4542678,4923,0.032426367,1275161,3,0.008503558,0,0,0,0,0,0,10129315
2023年04月,雲林縣,899755,52,0.009584298,13293,18,0.019374501,1278432,420,0.05189446,981782,38,0.011036969,0,0,0,59347,72,0.021634877,6048056,8781,0.043171997,3593947,8,0.023966651,0,0,0,15362,9,0.033138469,12889974
2023年04月,嘉義縣,909785,71,0.009691139,2200,5,0.003206492,755168,337,0.030653985,505605,22,0.005683896,0,0,0,45824,47,0.016705084,4551534,4284,0.032489582,3908184,9,0.026062176,0,0,0,25040,1,0.054015575,10703340
2023年04月,屏東縣,1029961,106,0.010971268,14034,7,0.020454506,1330756,392,0.05401841,4546485,79,0.051110544,465,4,0.00462314,126412,188,0.046083342,6489533,5863,0.046323331,4354778,13,0.02904034,0,0,0,9389,15,0.020253683,17901813
2023年04月,台東縣,695481,57,0.007408347,18374,10,0.02678004,775298,457,0.031471107,1711963,53,0.019245496,5775,3,0.057416411,152055,120,0.055431467,1522015,1825,0.010864388,1049268,6,0.006997165,0,0,0,6374,10,0.013749811,5936603
2023年03月,新北市,17481908,519,0.183,31993,7,0.0387,1476391,683,0.0573,6977720,89,0.0782,3385,1,0.0319,172894,64,0.0549,12346085,26128,0.0876,12093006,32,0.0816,0,0,0,10200,1,0.0249,50593582
2023年03月,台北市,30084453,447,0.315,33888,11,0.041,846260,352,0.0329,28231335,206,0.3163,10194,2,0.0962,767842,297,0.2436,8286128,24954,0.0588,38382586,110,0.2591,39740,3,0.889,192449,197,0.4694,106874875
2023年03月,桃園市,5528651,218,0.0579,24268,3,0.0293,1871711,285,0.0727,6119916,55,0.0686,0,0,0,194760,43,0.0618,9079324,17670,0.0645,16240392,25,0.1096,0,0,0,674,3,0.0016,39059696
2023年03月,台中市,7442370,307,0.0779,81548,20,0.0986,3807663,479,0.1479,8189842,128,0.0917,7848,4,0.074,110194,54,0.035,19097628,23657,0.1356,14033596,40,0.0947,0,0,0,10115,4,0.0247,52780804
2023年03月,台南市,5946761,252,0.0623,22526,21,0.0272,2417055,1090,0.0939,4212002,118,0.0472,640,1,0.006,142956,203,0.0454,16413569,12405,0.1165,8314701,23,0.0561,2200,1,0.0492,8143,6,0.0199,37480553
2023年03月,高雄市,12535606,489,0.1312,26721,26,0.0323,2081313,638,0.0808,12655137,139,0.1418,9619,9,0.0908,121938,129,0.0387,14242337,19276,0.1011,20792006,50,0.1403,2760,2,0.0617,10012,7,0.0244,62477449
2023年03月,宜蘭縣,1056564,50,0.0111,82722,13,0.1,988703,230,0.0384,1339594,35,0.015,4549,2,0.0429,193198,124,0.0613,5369856,5360,0.0381,1745947,7,0.0118,0,0,0,1615,2,0.0039,10782748
2023年03月,新竹縣,1575421,86,0.0165,19568,2,0.0237,718277,156,0.0279,963593,24,0.0108,0,0,0,6236,4,0.002,5465573,4695,0.0388,1396940,8,0.0094,0,0,0,4772,2,0.0116,10150380
2023年03月,苗栗縣,990996,66,0.0104,118208,18,0.1429,1232385,768,0.0479,1279129,38,0.0143,0,0,0,80070,106,0.0254,5120403,5719,0.0364,1355132,4,0.0091,0,0,0,61610,4,0.1503,10237933
2023年03月,彰化縣,1979841,109,0.0207,37606,10,0.0455,2019590,648,0.0784,2037754,44,0.0228,0,0,0,142818,102,0.0453,9716973,11796,0.069,2310209,10,0.0156,0,0,0,9320,6,0.0227,18254111
2023年03月,南投縣,860447,64,0.009,3051,1,0.0037,924162,185,0.0359,1782086,60,0.02,5570,3,0.0526,81553,44,0.0259,4570295,4876,0.0324,1276123,3,0.0086,0,0,0,0,0,0,9503287
2023年03月,雲林縣,883666,52,0.0093,25965,15,0.0314,1464285,518,0.0569,936212,37,0.0105,0,0,0,68539,70,0.0217,6055541,8759,0.043,3379529,8,0.0228,0,0,0,40,1,0.0001,12813777
2023年03月,嘉義縣,848319,70,0.0089,6620,5,0.008,1468015,550,0.057,483627,22,0.0054,20080,1,0.1894,46565,51,0.0148,4554312,4284,0.0323,3681712,9,0.0249,0,0,0,800,2,0.002,11110050
2023年03月,屏東縣,951929,104,0.01,16909,15,0.0204,1504090,474,0.0584,4294717,80,0.0481,7400,4,0.0698,111139,135,0.0353,6497297,5856,0.0461,4188284,13,0.0283,0,0,0,23748,6,0.0579,17595513
2023年03月,台東縣,674499,57,0.0071,26777,11,0.0324,762285,386,0.0296,1733145,53,0.0194,7477,4,0.0705,248326,136,0.0788,1476005,1816,0.0105,1073448,6,0.0072,0,0,0,8417,4,0.0205,6010379
2023年03月,花蓮縣,798798,64,0.0084,206962,24,0.2502,1009616,508,0.0392,1249118,53,0.014,0,0,0,190890,177,0.0606,5966129,4272,0.0424,3549261,10,0.024,0,0,0,6369,9,0.0155,12977143
2023年03月,基隆市,1180469,73,0.0124,0,0,0,215934,51,0.0084,1231286,32,0.0138,0,0,0,37231,20,0.0118,1540881,1883,0.0109,1808200,5,0.0122,0,0,0,34240,1,0.0835,6048241
2023年03月,新竹市,2036314,79,0.0213,44244,2,0.0535,240917,72,0.0094,2818104,42,0.0316,0,0,0,34366,17,0.0109,1901881,2714,0.0135,10029453,12,0.0677,0,0,0,0,0,0,17105279
2023年03月,嘉義市,918666,36,0.0096,7440,1,0.009,217455,54,0.0084,857940,24,0.0096,0,0,0,119545,40,0.0379,1190123,2132,0.0084,1720333,10,0.0116,0,0,0,1671,2,0.0041,5033173
2023年03月,澎湖縣,621887,51,0.0065,3017,2,0.0036,109632,39,0.0043,1068601,35,0.012,8687,3,0.082,92621,71,0.0294,1060754,968,0.0075,312160,2,0.0021,0,0,0,24136,53,0.0589,3301495
2023年03月,金門縣,865375,62,0.0091,0,0,0,255481,80,0.0099,628727,28,0.007,10563,7,0.0997,116538,50,0.037,700575,1168,0.005,462240,3,0.0031,0,0,0,1635,2,0.004,3041134
2023年03月,連江縣,256000,17,0.0027,7220,4,0.0087,114691,54,0.0045,179200,8,0.002,9981,5,0.0942,71443,27,0.0227,212137,220,0.0015,0,0,0,0,0,0,0,0,0,850672
2023年03月,合計,95518940,3272,1,827253,211,1,25745911,8300,1,89268785,1350,1,105993,46,1,3151662,1964,1,140863806,190608,1,148145258,390,1,44700,6,1,409966,312,1,504082274
2023年02月,新北市,13664743,520,0.1697,41852,8,0.0573,2368315,901,0.0882,6183092,89,0.0809,1955,3,0.0168,251895,113,0.0823,12186724,26127,0.0872,8762554,32,0.0797,0,0,0,7760,1,0.0147,43468890
2023年02月,台北市,25401532,445,0.3154,38952,11,0.0533,819940,288,0.0306,24009566,206,0.314,12358,3,0.1061,331832,83,0.1084,8033897,24938,0.0575,30032185,110,0.2732,704,1,0.3461,276989,262,0.5237,88957955
2023年02月,桃園市,4859604,214,0.0603,18520,2,0.0254,1894221,288,0.0706,5248902,55,0.0686,8663,1,0.0744,87066,42,0.0285,8885999,17623,0.0636,12352480,25,0.1124,0,0,0,0,0,0,33355455
2023年02月,台中市,6340729,305,0.0787,78176,11,0.107,3400603,440,0.1267,6818487,128,0.0892,6055,2,0.052,205115,144,0.067,19317978,23695,0.1383,10173613,40,0.0925,1330,1,0.6539,107085,13,0.2025,46449171
2023年02月,台南市,4822804,252,0.0599,58611,37,0.0803,2475399,1092,0.0922,3442172,117,0.045,880,1,0.0076,163457,124,0.0534,16256745,12403,0.1164,5359025,23,0.0487,0,0,0,384,2,0.0007,32579477
2023年02月,高雄市,9249152,489,0.1149,53997,26,0.0739,1554635,466,0.0579,11117993,140,0.1454,36744,7,0.3154,192765,146,0.063,14282823,19265,0.1022,14863595,50,0.1352,0,0,0,1640,3,0.0031,51353344
2023年02月,宜蘭縣,928143,50,0.0115,82195,6,0.1126,986110,194,0.0367,1142277,35,0.0149,0,0,0,136492,60,0.0446,5323911,5349,0.0381,1356639,7,0.0123,0,0,0,0,0,0,9955767
2023年02月,新竹縣,1394400,86,0.0173,3282,1,0.0045,708894,126,0.0264,851111,24,0.0111,0,0,0,44974,14,0.0147,5419664,4642,0.0388,1077640,8,0.0098,0,0,0,695,1,0.0013,9500660
2023年02月,苗栗縣,929970,67,0.0115,98468,16,0.1348,1377960,716,0.0513,1125944,38,0.0147,0,0,0,86740,46,0.0283,5014677,5712,0.0359,911980,4,0.0083,0,0,0,65700,3,0.1242,9611439
2023年02月,彰化縣,1753308,110,0.0218,43512,30,0.0596,2477442,653,0.0923,1658927,45,0.0217,0,0,0,194735,121,0.0636,9623332,11796,0.0689,1693788,10,0.0154,0,0,0,3360,1,0.0064,17448404
2023年02月,南投縣,837021,64,0.0104,4431,4,0.0061,1481678,234,0.0552,1473004,59,0.0193,5324,2,0.0457,279528,100,0.0913,4512016,4854,0.0323,888669,3,0.0081,0,0,0,0,0,0,9481671
2023年02月,雲林縣,810243,54,0.0101,15074,18,0.0206,1381524,420,0.0515,784606,36,0.0103,0,0,0,63485,72,0.0207,6005927,8738,0.043,2401914,8,0.0218,0,0,0,18646,9,0.0353,11481419
2023年02月,嘉義縣,769132,72,0.0096,2520,5,0.0035,843564,337,0.0314,424077,23,0.0055,0,0,0,47943,49,0.0157,4539578,4260,0.0325,2598944,9,0.0236,0,0,0,24160,1,0.0457,9249918
2023年02月,屏東縣,849073,104,0.0105,15084,7,0.0207,1425610,394,0.0531,3704460,79,0.0484,621,4,0.0053,121495,189,0.0397,6465510,5858,0.0463,2861921,13,0.026,0,0,0,11435,15,0.0216,15455209
2023年02月,台東縣,611370,57,0.0076,23016,10,0.0315,818905,457,0.0305,1502862,53,0.0197,6816,3,0.0585,161863,120,0.0529,1526758,1815,0.0109,692941,6,0.0063,0,0,0,6792,10,0.0128,5351323
2023年02月,花蓮縣,734235,64,0.0091,9408,3,0.0129,926601,378,0.0345,1059664,53,0.0139,0,0,0,196772,108,0.0643,5739009,4217,0.0411,2682606,10,0.0244,0,0,0,0,0,0,11348295
2023年02月,基隆市,1069069,73,0.0133,0,0,0,318804,91,0.0119,1042643,32,0.0136,3480,1,0.0299,24302,12,0.0079,1509716,1880,0.0108,1382600,5,0.0126,0,0,0,0,0,0,5350614
2023年02月,新竹市,3068564,80,0.0381,58960,4,0.0807,153002,39,0.0057,2538228,42,0.0332,6240,1,0.0536,54930,15,0.0179,1884193,2714,0.0135,7984440,12,0.0726,0,0,0,0,0,0,15748557
2023年02月,嘉義市,750535,36,0.0093,17156,3,0.0235,372234,64,0.0139,649204,24,0.0085,0,0,0,76680,78,0.0251,1195132,2157,0.0086,1316727,10,0.012,0,0,0,4291,2,0.0081,4381959
2023年02月,澎湖縣,600845,51,0.0075,26328,4,0.0361,397232,265,0.0148,939353,36,0.0123,12777,9,0.1097,125556,110,0.041,1055374,972,0.0076,198560,2,0.0018,0,0,0,0,0,0,3356025
2023年02月,金門縣,854368,61,0.0106,31499,42,0.0431,523880,197,0.0195,575863,28,0.0075,3640,2,0.0312,111073,43,0.0363,693647,1170,0.005,346040,3,0.0031,0,0,0,0,0,0,3140010
2023年02月,連江縣,231800,17,0.0029,9240,1,0.0127,131944,57,0.0049,175960,8,0.0023,10950,7,0.094,101584,35,0.0332,227397,233,0.0016,0,0,0,0,0,0,0,0,0,888875
2023年02月,合計,80530640,3271,1,730281,249,1,26838497,8097,1,76468395,1350,1,116503,46,1,3060282,1824,1,139700007,190418,1,109938861,390,1,2034,2,1,528937,323,1,437914437
2023年01月,新北市,14508326,520,0.171,36529,7,0.0413,1727102,684,0.054,6277514,89,0.0796,3561,1,0.0292,209483,64,0.0575,14180360,26081,0.0872,9045315,32,0.0815,0,0,0,12800,1,0.0261,46000990
2023年01月,台北市,27766161,447,0.3272,33776,11,0.0382,1020435,352,0.0319,24661364,206,0.3125,12988,2,0.1064,923778,297,0.2538,9410388,24923,0.0579,30296925,109,0.2731,43865,3,0.894,226268,198,0.4612,94395948
2023年01月,桃園市,5100557,212,0.0601,24004,3,0.0272,2355168,285,0.0736,4739505,55,0.0601,0,0,0,215220,43,0.0591,10336752,17548,0.0636,12376262,25,0.1116,0,0,0,571,3,0.0012,35148039
2023年01月,台中市,6731717,307,0.0793,91962,20,0.1041,4809772,479,0.1503,7133592,128,0.0904,9240,4,0.0757,130168,54,0.0358,21936528,23595,0.1349,10203355,40,0.092,0,0,0,17941,4,0.0366,51064275
2023年01月,台南市,4741981,252,0.0559,25120,21,0.0284,3006585,1093,0.094,3639532,117,0.0461,960,1,0.0079,161829,203,0.0445,19176509,12360,0.118,5503902,23,0.0496,2360,1,0.0481,9413,6,0.0192,36268191
2023年01月,高雄市,9749382,489,0.1149,27745,26,0.0314,2677182,640,0.0837,11634883,140,0.1474,11073,9,0.0907,148094,129,0.0407,16453922,19213,0.1012,14504673,50,0.1308,2840,2,0.0579,10782,7,0.022,55220576
2023年01月,宜蘭縣,1025750,51,0.0121,93672,13,0.106,1218793,227,0.0381,1211837,35,0.0154,4872,2,0.0399,214127,124,0.0588,6195574,5336,0.0381,1318563,7,0.0119,0,0,0,2421,2,0.0049,11285609
2023年01月,新竹縣,1439031,86,0.017,21820,2,0.0247,873153,157,0.0273,908991,24,0.0115,0,0,0,8268,4,0.0023,6341147,4594,0.039,1119600,8,0.0101,0,0,0,5049,2,0.0103,10717059
2023年01月,苗栗縣,972914,67,0.0115,132901,18,0.1504,1458981,768,0.0456,1201005,38,0.0152,0,0,0,86301,106,0.0237,5871294,5699,0.0361,1040212,4,0.0094,0,0,0,62960,4,0.1283,10826568
2023年01月,彰化縣,1843127,111,0.0217,44488,10,0.0503,2521983,649,0.0788,1707123,45,0.0216,0,0,0,160006,101,0.044,11250487,11738,0.0692,1749176,10,0.0158,0,0,0,14048,6,0.0286,19290438
2023年01月,南投縣,915885,64,0.0108,2023,1,0.0023,1139808,185,0.0356,1519093,59,0.0193,8064,3,0.0661,85964,44,0.0236,5310349,4857,0.0327,942208,3,0.0085,0,0,0,0,0,0,9923394
2023年01月,雲林縣,853554,55,0.0101,28247,15,0.032,1863683,519,0.0583,866490,37,0.011,0,0,0,82384,70,0.0226,6994737,8705,0.043,2536134,8,0.0229,0,0,0,40,1,0.0001,13225269
2023年01月,嘉義縣,799878,73,0.0094,7016,5,0.0079,1867070,550,0.0584,448002,23,0.0057,23840,1,0.1953,50248,51,0.0138,5288172,4251,0.0325,2726730,9,0.0246,0,0,0,960,2,0.002,11211916
2023年01月,屏東縣,926463,103,0.0109,19218,15,0.0217,1954582,474,0.0611,3913867,79,0.0496,10360,4,0.0849,128234,135,0.0352,7548261,5827,0.0464,2956817,13,0.0267,0,0,0,23031,6,0.0469,17480833
2023年01月,台東縣,681671,57,0.008,27747,11,0.0314,911652,386,0.0285,1521579,54,0.0193,5745,4,0.0471,265102,136,0.0728,1709364,1798,0.0105,765721,6,0.0069,0,0,0,11618,4,0.0237,5900199
2023年01月,花蓮縣,773313,64,0.0091,199768,24,0.2261,1194691,506,0.0373,1125894,53,0.0143,0,0,0,214556,176,0.0589,6940195,4127,0.0427,2678779,10,0.0241,0,0,0,8821,9,0.018,13136017
2023年01月,基隆市,1123750,73,0.0132,0,0,0,256174,51,0.008,1143834,32,0.0145,0,0,0,43625,20,0.012,1778928,1886,0.0109,1390200,5,0.0125,0,0,0,56800,1,0.1158,5793311
2023年01月,新竹市,2285124,80,0.0269,47844,2,0.0541,303182,72,0.0095,2734532,43,0.0347,0,0,0,39208,17,0.0108,2192321,2711,0.0135,7920443,12,0.0714,0,0,0,0,0,0,15522654
2023年01月,嘉義市,793406,36,0.0094,8120,1,0.0092,272733,54,0.0085,676205,25,0.0086,0,0,0,167778,40,0.0461,1372283,2157,0.0084,1325061,10,0.0119,0,0,0,1519,2,0.0031,4617105
2023年01月,澎湖縣,660321,51,0.0078,3842,2,0.0043,135275,39,0.0042,1032334,35,0.0131,9835,3,0.0806,100305,71,0.0276,1233989,968,0.0076,210040,2,0.0019,0,0,0,23629,53,0.0482,3409570
2023年01月,金門縣,894457,61,0.0105,0,0,0,301250,80,0.0094,623188,28,0.0079,9941,7,0.0815,131684,50,0.0362,802610,1162,0.0049,317020,3,0.0029,0,0,0,1961,2,0.004,3082111
2023年01月,連江縣,261760,17,0.0031,7885,4,0.0089,123466,54,0.0039,188400,8,0.0024,11569,5,0.0948,74076,26,0.0203,246998,220,0.0015,0,0,0,0,0,0,0,0,0,914154
2023年01月,合計,84848528,3276,1,883727,211,1,31992720,8304,1,78908764,1353,1,122048,46,1,3640438,1961,1,162571168,189756,1,110927136,389,1,49065,6,1,490632,313,1,474434226
2022年12月,新北市,16917843,520,0.1775,41747,8,0.0512,2602445,905,0.0851,6926498,89,0.0791,1560,3,0.0115,251472,116,0.0776,14171487,26012,0.087,12187928,32,0.0836,0,0,0,8400,1,0.0155,53109380
2022年12月,台北市,29886780,446,0.3137,43941,11,0.0539,876553,288,0.0287,27141003,205,0.3101,14150,3,0.1041,368495,83,0.1137,9636957,24916,0.0592,37255340,110,0.2556,682,1,0.2759,256914,264,0.4749,105480815
2022年12月,桃園市,5822294,213,0.0611,20240,2,0.0248,2053671,288,0.0671,5930867,55,0.0678,10167,1,0.0748,95460,42,0.0295,10281529,17481,0.0632,16312232,25,0.1119,0,0,0,0,0,0,40526460
2022年12月,台中市,7794061,304,0.0818,101615,11,0.1245,4159405,440,0.136,7999013,128,0.0914,6083,2,0.0448,213962,144,0.066,22267893,23569,0.1368,13730255,40,0.0942,1790,1,0.7241,130562,13,0.2414,56404639
