日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2022年04月,澎湖縣,13220159,0.4183,14134978,0.4472,292160,0.0092,3959435,0.1253,31606732,0.0018
2022年04月,金門縣,9264260,0.4562,8249612,0.4063,292786,0.0144,2499365,0.1231,20306023,0.0011
2022年04月,連江縣,2141615,0.382,2778867,0.4956,6377,0.0011,679771,0.1212,5606630,0.0003
2022年04月,合計,3400588982,0.1914,3336910220,0.1878,217825659,0.0123,10813201434,0.6086,17768526295,1
2022年03月,新北市,688222021,0.4058,496991336,0.293,2239524,0.0013,508571658,0.2999,1696024539,0.0897
2022年03月,台北市,421676141,0.3561,710780186,0.6002,966413,0.0008,50780815,0.0429,1184203555,0.0626
2022年03月,桃園市,404224312,0.1648,329852693,0.1345,3331871,0.0014,1715222819,0.6993,2452631695,0.1297
2022年03月,台中市,493364196,0.1736,450297806,0.1585,12555661,0.0044,1885045760,0.6635,2841263423,0.1503
2022年03月,台南市,318198718,0.1254,238598428,0.0941,30617965,0.0121,1949071917,0.7684,2536487028,0.1341
2022年03月,高雄市,478891685,0.1874,425163800,0.1663,20049425,0.0078,1632027202,0.6385,2556132112,0.1352
2022年03月,宜蘭縣,77938507,0.2846,65943924,0.2408,5317550,0.0194,124652490,0.4552,273852471,0.0145
2022年03月,新竹縣,105097616,0.1174,79787321,0.0891,1717287,0.0019,708494959,0.7915,895097183,0.0473
2022年03月,苗栗縣,92653775,0.1387,56372997,0.0844,2420045,0.0036,516787431,0.7734,668234248,0.0353
2022年03月,彰化縣,203388752,0.2084,177927565,0.1823,35860282,0.0368,558602268,0.5725,975778867,0.0516
2022年03月,南投縣,71579054,0.3057,52494200,0.2242,8193171,0.035,101896202,0.4352,234162627,0.0124
2022年03月,雲林縣,114996713,0.2414,68981461,0.1448,32291835,0.0678,260141734,0.546,476411743,0.0252
2022年03月,嘉義縣,80362609,0.2581,44351352,0.1425,20157650,0.0647,166461272,0.5347,311332883,0.0165
2022年03月,屏東縣,132092399,0.3337,91269555,0.2306,61140625,0.1545,111322692,0.2812,395825271,0.0209
2022年03月,台東縣,32278240,0.4237,30971894,0.4066,2511199,0.033,10415810,0.1367,76177143,0.004
2022年03月,花蓮縣,52427251,0.2507,57827019,0.2765,2090716,0.01,96775454,0.4628,209120440,0.0111
2022年03月,基隆市,58484328,0.5018,39698839,0.3406,6668,0.0001,18359469,0.1575,116549304,0.0062
2022年03月,新竹市,91320767,0.1076,90748980,0.107,695732,0.0008,665730369,0.7846,848495848,0.0449
2022年03月,嘉義市,43005083,0.4697,40551348,0.4429,497354,0.0054,7511075,0.082,91564860,0.0048
2022年03月,澎湖縣,16381026,0.45,15543791,0.427,346594,0.0095,4131825,0.1135,36403236,0.0019
2022年03月,金門縣,12885519,0.5053,9771938,0.3832,282559,0.0111,2562704,0.1005,25502720,0.0013
2022年03月,連江縣,3178742,0.4714,2905265,0.4309,5747,0.0009,652908,0.0968,6742662,0.0004
2022年03月,合計,3992647454,0.2112,3576831698,0.1892,243295873,0.0129,11095218833,0.5868,18907993858,1
2022年02月,新北市,651832735,0.4329,427263831,0.2837,1654171,0.0011,425065874,0.2823,1505816611,0.0912
2022年02月,台北市,384018580,0.3774,593192874,0.583,807268,0.0008,39479919,0.0388,1017498641,0.0616
2022年02月,桃園市,433534840,0.2047,295734399,0.1396,3431608,0.0016,1385033330,0.654,2117734177,0.1282
2022年02月,台中市,468001571,0.19,403659939,0.1639,11234240,0.0046,1580352195,0.6416,2463247945,0.1491
2022年02月,台南市,303781882,0.1343,214016510,0.0946,30890360,0.0137,1713770892,0.7575,2262459644,0.137
2022年02月,高雄市,359700291,0.164,368160630,0.1679,19440840,0.0089,1445683384,0.6592,2192985145,0.1327
2022年02月,宜蘭縣,82790457,0.3167,58567197,0.2241,4874932,0.0186,115166630,0.4406,261399216,0.0158
2022年02月,新竹縣,108011817,0.1352,76895501,0.0962,1488520,0.0019,612628653,0.7667,799024491,0.0484
2022年02月,苗栗縣,77942266,0.1377,49730463,0.0879,2281705,0.004,435913703,0.7703,565868137,0.0343
2022年02月,彰化縣,188450943,0.2245,166276799,0.1981,35069406,0.0418,449710811,0.5357,839507959,0.0508
2022年02月,南投縣,82201926,0.3631,50374831,0.2225,7754870,0.0343,86031062,0.3801,226362689,0.0137
2022年02月,雲林縣,103309800,0.2518,58209092,0.1419,31261141,0.0762,217484094,0.5301,410264127,0.0248
2022年02月,嘉義縣,67580750,0.2799,37793486,0.1565,20345910,0.0843,115764911,0.4794,241485057,0.0146
2022年02月,屏東縣,119158703,0.3366,82910858,0.2342,64220298,0.1814,87750499,0.2479,354040358,0.0214
2022年02月,台東縣,35081655,0.4693,28249865,0.3779,2494104,0.0334,8924696,0.1194,74750320,0.0045
2022年02月,花蓮縣,57122979,0.2926,52098798,0.2669,1973547,0.0101,83997811,0.4303,195193135,0.0118
2022年02月,基隆市,62445164,0.5526,35718594,0.3161,13304,0.0001,14825762,0.1312,113002824,0.0068
2022年02月,新竹市,74013529,0.1,76397397,0.1032,693711,0.0009,589007221,0.7958,740111858,0.0448
2022年02月,嘉義市,40559326,0.4903,35026499,0.4234,595843,0.0072,6541184,0.0791,82722852,0.005
2022年02月,澎湖縣,13377459,0.4508,12202558,0.4112,358660,0.0121,3736520,0.1259,29675197,0.0018
2022年02月,金門縣,10035614,0.4871,7982314,0.3874,312738,0.0152,2271638,0.1103,20602304,0.0012
2022年02月,連江縣,2530899,0.3993,3161368,0.4988,6438,0.001,639102,0.1008,6337807,0.0004
2022年02月,合計,3725483186,0.2255,3133623803,0.1897,241203614,0.0146,9419779891,0.5702,16520090494,1
2022年01月,新北市,601310915,0.38,487102083,0.3079,2346969,0.0015,491466480,0.3106,1582226447,0.0887
2022年01月,台北市,376095933,0.3384,682419561,0.6141,970128,0.0009,51746568,0.0466,1111232190,0.0623
2022年01月,桃園市,341501074,0.1508,318521890,0.1407,3371649,0.0015,1600654456,0.707,2264049069,0.127
2022年01月,台中市,438440377,0.1625,445652183,0.1652,12046373,0.0045,1801398252,0.6678,2697537185,0.1513
2022年01月,台南市,286014043,0.1182,230691274,0.0953,31931845,0.0132,1871433661,0.7733,2420070823,0.1357
2022年01月,高雄市,457046599,0.1869,411141703,0.1682,20303255,0.0083,1556342971,0.6366,2444834528,0.1371
2022年01月,宜蘭縣,68506019,0.2472,64148049,0.2315,4850539,0.0175,139645968,0.5039,277150575,0.0155
2022年01月,新竹縣,88729452,0.1047,78408345,0.0925,1723660,0.002,678447351,0.8007,847308808,0.0475
2022年01月,苗栗縣,80118715,0.1275,54906997,0.0874,2277205,0.0036,491004374,0.7815,628307291,0.0352
2022年01月,彰化縣,177236083,0.192,176252311,0.1909,36262910,0.0393,533467526,0.5778,923218830,0.0518
2022年01月,南投縣,63825517,0.2854,51244048,0.2292,8073734,0.0361,100469168,0.4493,223612467,0.0125
2022年01月,雲林縣,98828427,0.2212,66836227,0.1496,31143273,0.0697,249988106,0.5595,446796033,0.0251
2022年01月,嘉義縣,69737214,0.2903,42547799,0.1771,19406786,0.0808,108552271,0.4518,240244070,0.0135
2022年01月,屏東縣,126395421,0.3284,88697749,0.2305,63160296,0.1641,106573727,0.2769,384827193,0.0216
2022年01月,台東縣,30253338,0.4179,29386347,0.4059,2525900,0.0349,10235421,0.1414,72401006,0.0041
2022年01月,花蓮縣,47647936,0.237,56710109,0.282,2042908,0.0102,94671810,0.4708,201072763,0.0113
2022年01月,基隆市,48801795,0.4647,38874209,0.3701,5692,0.0001,17345884,0.1652,105027580,0.0059
2022年01月,新竹市,78574907,0.0967,90578610,0.1115,683014,0.0008,642742797,0.791,812579328,0.0456
2022年01月,嘉義市,38395015,0.4486,39472078,0.4612,501971,0.0059,7215148,0.0843,85584212,0.0048
2022年01月,澎湖縣,14316541,0.4173,15447186,0.4503,360635,0.0105,4179826,0.1218,34304188,0.0019
2022年01月,金門縣,10409124,0.453,9633747,0.4193,313238,0.0136,2621195,0.1141,22977304,0.0013
2022年01月,連江縣,2687760,0.4215,3010294,0.4721,5704,0.0009,673180,0.1056,6376938,0.0004
2022年01月,合計,3544872205,0.1988,3481682799,0.1953,244307684,0.0137,10560876140,0.5923,17831738828,1
2021年12月,新北市,650451773,0.3968,474218518,0.2893,1881914,0.0011,512582986,0.3127,1639135191,0.0881
2021年12月,台北市,386895893,0.3412,698906684,0.6164,1001153,0.0009,47077465,0.0415,1133881195,0.061
2021年12月,桃園市,408507731,0.1698,336645127,0.1399,3609634,0.0015,1657192732,0.6888,2405955224,0.1293
2021年12月,台中市,494941537,0.1762,453785832,0.1616,12943967,0.0046,1846814952,0.6576,2808486288,0.151
2021年12月,台南市,330676800,0.1287,246221004,0.0958,33863813,0.0132,1958155720,0.7622,2568917337,0.1381
2021年12月,高雄市,411751459,0.1638,427044207,0.1699,20606383,0.0082,1654785549,0.6582,2514187598,0.1352
2021年12月,宜蘭縣,76183986,0.2641,62528666,0.2167,5109855,0.0177,144687808,0.5015,288510315,0.0155
2021年12月,新竹縣,108804986,0.1331,84709097,0.1037,1613747,0.002,622101179,0.7612,817229009,0.0439
2021年12月,苗栗縣,79326743,0.1272,55820789,0.0895,2706933,0.0043,485749862,0.7789,623604327,0.0335
2021年12月,彰化縣,200030990,0.2039,184482385,0.188,39220702,0.04,557414568,0.5681,981148645,0.0527
2021年12月,南投縣,83343511,0.3296,54087035,0.2139,8971241,0.0355,106480904,0.4211,252882691,0.0136
2021年12月,雲林縣,112416852,0.2386,66129975,0.1404,33629453,0.0714,258934251,0.5496,471110531,0.0253
2021年12月,嘉義縣,70992533,0.2761,43869174,0.1706,21560025,0.0838,120727104,0.4695,257148836,0.0138
2021年12月,屏東縣,131846482,0.3318,92206775,0.2321,62884069,0.1583,110373705,0.2778,397311031,0.0214
2021年12月,台東縣,35708210,0.4508,30205664,0.3813,2737500,0.0346,10556143,0.1333,79207517,0.0043
2021年12月,花蓮縣,54629425,0.2662,56662464,0.2762,2241826,0.0109,91652247,0.4467,205185962,0.011
2021年12月,基隆市,60083321,0.5054,40281199,0.3388,11355,0.0001,18514443,0.1557,118890318,0.0064
2021年12月,新竹市,73662990,0.0832,94928836,0.1072,726889,0.0008,716509059,0.8089,885827774,0.0476
2021年12月,嘉義市,44292169,0.472,40919793,0.4361,595455,0.0063,8032361,0.0856,93839778,0.005
2021年12月,澎湖縣,15010950,0.4573,13238108,0.4033,384038,0.0117,4190783,0.1277,32823879,0.0018
2021年12月,金門縣,9709296,0.4504,8808052,0.4086,312586,0.0145,2727725,0.1265,21557659,0.0012
2021年12月,連江縣,2020829,0.3592,2931788,0.5211,6853,0.0012,666817,0.1185,5626287,0.0003
2021年12月,合計,3841288466,0.2065,3568631172,0.1918,256619391,0.0138,10935928363,0.5879,18602467392,1
2021年11月,新北市,855667280,0.4423,548503645,0.2835,2545555,0.0013,527962921,0.2729,1934679401,0.0967
2021年11月,台北市,539006246,0.3947,765780475,0.5607,1013171,0.0007,59956329,0.0439,1365756221,0.0682
2021年11月,桃園市,432149296,0.1775,356516989,0.1464,3690174,0.0015,1642861678,0.6746,2435218137,0.1217
2021年11月,台中市,627911150,0.2106,504800229,0.1693,14129047,0.0047,1833991293,0.6153,2980831719,0.1489
2021年11月,台南市,402305179,0.1517,270695215,0.1021,37412827,0.0141,1941363422,0.7321,2651776643,0.1325
2021年11月,高雄市,642508040,0.2335,465802293,0.1693,20760788,0.0075,1622301441,0.5896,2751372562,0.1375
2021年11月,宜蘭縣,85820572,0.2904,70541028,0.2387,5907496,0.02,133282457,0.451,295551553,0.0148
2021年11月,新竹縣,122917806,0.1488,86640445,0.1049,2113710,0.0026,614216938,0.7437,825888899,0.0413
2021年11月,苗栗縣,115576309,0.1716,62589466,0.0929,2854015,0.0042,492671538,0.7313,673691328,0.0337
2021年11月,彰化縣,250282705,0.2394,189595089,0.1814,45492566,0.0435,560072762,0.5357,1045443122,0.0522
2021年11月,南投縣,76266734,0.3058,57225287,0.2295,9455652,0.0379,106412932,0.4267,249360605,0.0125
2021年11月,雲林縣,143428843,0.274,77779829,0.1486,37628349,0.0719,264621313,0.5055,523458334,0.0262
2021年11月,嘉義縣,97174695,0.3225,48433731,0.1608,24585064,0.0816,131085859,0.4351,301279349,0.0151
