日期,縣市,住宅部門售電量(度),住宅部門用電佔比(%),服務業部門(含包燈)(度),服務業部門(含包燈)用電佔比(%),農林漁牧售電量(度),農林漁牧用電佔比(%),工業部門售電量(度),工業部門用電佔比(%),合計售電量(度),縣市用電佔比(%)
2019年07月,苗栗縣,98245698,0.1634,68372336,0.1137,2940775,0.0049,431760750,0.718,601319559,0.0309
2019年07月,彰化縣,208783381,0.208,190292469,0.1896,42794255,0.0426,561838730,0.5598,1003708835,0.0516
2019年07月,南投縣,66255147,0.2786,57102843,0.2401,8545657,0.0359,105885021,0.4453,237788668,0.0122
2019年07月,雲林縣,119485954,0.24,81441845,0.1636,34988798,0.0703,262025865,0.5262,497942462,0.0256
2019年07月,嘉義縣,83334043,0.3321,51773645,0.2063,24031609,0.0958,91806741,0.3658,250946038,0.0129
2019年07月,屏東縣,158128706,0.3671,102774749,0.2386,61244285,0.1422,108547897,0.252,430695637,0.0221
2019年07月,台東縣,33328061,0.3943,37742967,0.4465,2091641,0.0247,11366110,0.1345,84528779,0.0043
2019年07月,花蓮縣,54319399,0.2592,70005046,0.334,2445685,0.0117,82799686,0.3951,209569816,0.0108
2019年07月,基隆市,56007848,0.4397,51021238,0.4006,10823,0.0001,20332309,0.1596,127372218,0.0065
2019年07月,新竹市,95149736,0.1019,121589270,0.1302,895653,0.001,716370462,0.767,934005121,0.048
2019年07月,嘉義市,49094820,0.4458,52492425,0.4766,615727,0.0056,7926820,0.072,110129792,0.0057
2019年07月,澎湖縣,18442168,0.4065,22009483,0.4852,389122,0.0086,4524633,0.0997,45365406,0.0023
2019年07月,金門縣,11578871,0.3935,13336942,0.4532,253773,0.0086,4258987,0.1447,29428573,0.0015
2019年07月,連江縣,2574040,0.3926,3284348,0.501,10125,0.0015,687268,0.1048,6555781,0.0003
2019年07月,合計,4352970910,0.2236,4368591248,0.2244,267777638,0.0138,10474692972,0.5382,19464032768,1
2019年06月,新北市,645308144,0.3828,531211990,0.3151,2481938,0.0015,506702224,0.3006,1685704296,0.0936
2019年06月,台北市,406626583,0.3096,851099023,0.6479,664876,0.0005,55141444,0.042,1313531926,0.073
2019年06月,桃園市,389617192,0.1657,402040745,0.171,4208559,0.0018,1555483635,0.6615,2351350131,0.1306
