日期,縣市,801 KW以上售電量(度),801 KW以上抄表戶數,801 KW以上用電佔比(%),小於等於800 KW售電量(度),小於等於800 KW抄表戶數,小於等於800 KW用電佔比(%),表燈營業用電售電量(度),表燈營業用電抄表戶數,表燈營業用電用電佔比(%),合計
2018年04月,花蓮縣,16151180,27,0.0148,20039637,1210,0.0161,18656842,10662,0.0171,54847659
2018年04月,基隆市,8784660,21,0.008,17387470,1256,0.014,13089701,7291,0.012,39261831
2018年04月,新竹市,43746507,56,0.04,27440301,2057,0.0221,20365623,9937,0.0187,91552431
2018年04月,嘉義市,9813600,16,0.009,17923299,1250,0.0144,12506146,8354,0.0115,40243045
2018年04月,澎湖縣,3239800,6,0.003,7181078,461,0.0058,3165635,2059,0.0029,13586513
2018年04月,金門縣,2627008,7,0.0024,3815009,494,0.0031,2591985,2100,0.0024,9034002
2018年04月,連江縣,0,0,0,1490835,181,0.0012,1015442,695,0.0009,2506277
2018年04月,合計,1094392261,1576,1,1240992448,86774,1,1090673836,587054,1,3426058545
2018年03月,新北市,97456508,155,0.0916,157345490,11934,0.1335,193367323,98491,0.1747,448169321
2018年03月,台北市,324049620,478,0.3047,208846372,14337,0.1772,170171936,92660,0.1538,703067928
2018年03月,桃園市,110275453,160,0.1037,104389994,5970,0.0886,101655537,46958,0.0919,316320984
2018年03月,台中市,99811965,185,0.0938,138592688,9935,0.1176,150590987,83898,0.1361,388995640
2018年03月,台南市,69909872,84,0.0657,95514031,7947,0.081,75150411,45697,0.0679,240574314
2018年03月,高雄市,136777433,173,0.1286,147525613,10677,0.1252,120796542,69894,0.1092,405099588
2018年03月,宜蘭縣,12410774,26,0.0117,22763686,1451,0.0193,25620103,15309,0.0232,60794563
2018年03月,新竹縣,17582400,23,0.0165,27560927,1848,0.0234,23390977,11366,0.0211,68534304
2018年03月,苗栗縣,10607380,18,0.01,18545379,1216,0.0157,23409464,14126,0.0212,52562223
2018年03月,彰化縣,49253403,30,0.0463,52665179,5150,0.0447,45353524,27361,0.041,147272106
2018年03月,南投縣,8051960,23,0.0076,21646810,1504,0.0184,18999977,11820,0.0172,48698747
2018年03月,雲林縣,11090276,25,0.0104,26853376,2334,0.0228,25078206,19334,0.0227,63021858
2018年03月,嘉義縣,10858400,13,0.0102,14735750,1325,0.0125,16147633,11321,0.0146,41741783
2018年03月,屏東縣,17886992,39,0.0168,38668486,3290,0.0328,30296992,20239,0.0274,86852470
2018年03月,台東縣,4586000,8,0.0043,13539150,828,0.0115,9371825,6699,0.0085,27496975
2018年03月,花蓮縣,16068660,26,0.0151,19184184,1209,0.0163,19444823,11078,0.0176,54697667
2018年03月,基隆市,8831060,21,0.0083,16728720,1256,0.0142,13483139,7423,0.0122,39042919
2018年03月,新竹市,43133067,55,0.0406,25482112,2057,0.0216,20767529,10842,0.0188,89382708
2018年03月,嘉義市,9343600,16,0.0088,16581244,1249,0.0141,14344446,9372,0.013,40269290
2018年03月,澎湖縣,3171400,6,0.003,6321632,461,0.0054,4750223,3434,0.0043,14243255
2018年03月,金門縣,2436600,7,0.0023,3639859,493,0.0031,3503405,2475,0.0032,9579864
2018年03月,連江縣,0,0,0,1552112,182,0.0013,974377,612,0.0009,2526489
2018年03月,合計,1063592823,1571,1,1178682794,86653,1,1106669379,620409,1,3348944996
2018年02月,新北市,77711020,155,0.0934,135842187,11924,0.1374,160589268,86954,0.1615,374142475
2018年02月,台北市,255123832,474,0.3066,174418107,14325,0.1764,146847164,86106,0.1477,576389103
2018年02月,桃園市,86090922,161,0.1034,87565297,5965,0.0885,100972726,48419,0.1016,274628945
2018年02月,台中市,77247326,182,0.0928,118473933,9929,0.1198,133263064,77567,0.134,328984323
2018年02月,台南市,51429008,84,0.0618,78144507,7940,0.079,72682838,44773,0.0731,202256353
2018年02月,高雄市,107191291,173,0.1288,120959263,10663,0.1223,110568881,65951,0.1112,338719435
2018年02月,宜蘭縣,10580049,28,0.0127,18655025,1451,0.0189,20172388,12355,0.0203,49407462
2018年02月,新竹縣,13988160,24,0.0168,23155459,1841,0.0234,25727285,13778,0.0259,62870904
2018年02月,苗栗縣,8559080,19,0.0103,15738015,1213,0.0159,20560925,12720,0.0207,44858020
2018年02月,彰化縣,40525608,30,0.0487,45057674,5149,0.0456,47212738,30682,0.0475,132796020
2018年02月,南投縣,6011920,23,0.0072,18263423,1503,0.0185,19466198,13293,0.0196,43741541
2018年02月,雲林縣,8494600,25,0.0102,22563629,2333,0.0228,20750899,15596,0.0209,51809128
2018年02月,嘉義縣,7845600,13,0.0094,11993870,1327,0.0121,14530062,10279,0.0146,34369532
2018年02月,屏東縣,13834560,39,0.0166,32004594,3282,0.0324,26848291,18174,0.027,72687445
2018年02月,台東縣,3625200,8,0.0044,11247156,828,0.0114,8756927,7662,0.0088,23629283
